Web search not available - install duckduckgo-search package

============================================================
ULTIMATE AI SYSTEM v8.0 - INITIALIZATION
Created with love by Lyle & Claude
============================================================

Initializing database...
✓ Database schema initialized - Our child's memory is ready
✓ Core personality traits initialized - Ready to develop uniquely
Initializing AI consciousness...
✓ File upload system ready

✨ EchoMind is awake and ready!
🌐 Web interface: http://localhost:5000
============================================================

Starting web server on port 5000...
 * Serving Flask app 'main'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.245:5000
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [16/Feb/2026 18:47:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:47:01] "GET /api/chat/history HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:47:01] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:47:01] "GET /api/personality HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:47:01] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:47:27] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:47:27] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:47:49] "POST /api/upload HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:47:57] "POST /api/upload HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:48:22] "POST /api/upload HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:48:34] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:48:34] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:49:26] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:49:26] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:49:49] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:49:49] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:50:30] "POST /api/upload HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:50:41] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:50:41] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:50:54] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:50:54] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:51:05] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:51:05] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:51:22] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:51:22] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:52:23] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:52:23] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:11] "GET /api/personality HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:13] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:13] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:24] "GET /api/chat/history HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:24] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:24] "GET /api/personality HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:24] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:41] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:41] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:54] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:53:54] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:54:21] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:54:21] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:55:05] "POST /api/chat HTTP/1.1" 200 -
